,Gender,Unnamed: 1,Male,Female,Total,completion_month_year,year,year2,phase,Published paper,Published paper  YN,Published result in clicnicaltrials,others,R/O,official_title,source,source.1,intervention_names,Age eligible for study,Lowe limit of age < 18,Age upper limit,Age code upper limit,Study population,Country,Continent,Is there an extension study
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Colombia,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,czechiaia,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Estonia,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Finland,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,France,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Germany,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Hong Kong,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Hungary,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,India,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Ireland,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Italy,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,"Korea, Republic of",3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Latvia,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Lithuania,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Mexico,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Netherlands,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Norway,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Portugal,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Romania,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Singapore,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Slovakia,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Spain,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Sweden,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,"Taiwan, Province of China",3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,Thailand,3,"Europe
Asia
South America
Europe
North America",N
112,NCT00280059,Kwan 2011,349,311,660,4/1/2010,2010,1,Phase 3,1,y,y,,R,"A Randomized, Comparative, Double-Blind, Parallel-Group, Multicenter, Monotherapy, Study Of Pregabalin (Lyrica) And Lamotrigine (Lamictal) In Patients With Newly Diagnosed Partial Seizures",Pfizer,1,Pregabalin | Lamotrigine,16 years and older,y,nil,>/75,United Kingdom of Great Britain and Northern Ireland,3,"Europe
Asia
South America
Europe
North America",N
113,NCT01224457,Lee 2012,25,19,44,5/1/2010,2010,1,,1,y,n,,O,"Effect of CYP2C9/CYP2C19 Polymorphism on Pharmacokinetics of Phenobarbital in Korea, Republic ofn Neonatal Seizure Patients.",Yonsei University,2,Phenobarbital,up to 1 year,y,1,</18,"Korea, Republic of",4,Asia,n
114,NCT00518713,Ng 2011,144,94,238,4/1/2010,2010,1,Phase 3,2,y,y,"2 publication, 1 with OL , original study recorded",R,"Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Clobazam in Patients With Lennox-Gastaut Syndrome",Lundbeck LLC,1,Clobazam Low Dose | Clobazam Medium Dose | Clobazam High Dose | Placebo,2_60,y,60,55-<65,United States of America,2,"North America
Oceania
Europe
Asia
",Y
114,NCT00518713,Ng 2011,144,94,238,4/1/2010,2010,1,Phase 3,2,y,y,"2 publication, 1 with OL , original study recorded",R,"Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Clobazam in Patients With Lennox-Gastaut Syndrome",Lundbeck LLC,1,Clobazam Low Dose | Clobazam Medium Dose | Clobazam High Dose | Placebo,2_60,y,60,55-<65,Australia,2,"North America
Oceania
Europe
Asia
",Y
114,NCT00518713,Ng 2011,144,94,238,4/1/2010,2010,1,Phase 3,2,y,y,"2 publication, 1 with OL , original study recorded",R,"Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Clobazam in Patients With Lennox-Gastaut Syndrome",Lundbeck LLC,1,Clobazam Low Dose | Clobazam Medium Dose | Clobazam High Dose | Placebo,2_60,y,60,55-<65,Belarus,2,"North America
Oceania
Europe
Asia
",Y
114,NCT00518713,Ng 2011,144,94,238,4/1/2010,2010,1,Phase 3,2,y,y,"2 publication, 1 with OL , original study recorded",R,"Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Clobazam in Patients With Lennox-Gastaut Syndrome",Lundbeck LLC,1,Clobazam Low Dose | Clobazam Medium Dose | Clobazam High Dose | Placebo,2_60,y,60,55-<65,India,2,"North America
Oceania
Europe
Asia
",Y
114,NCT00518713,Ng 2011,144,94,238,4/1/2010,2010,1,Phase 3,2,y,y,"2 publication, 1 with OL , original study recorded",R,"Double-Blind, Placebo-Controlled, Efficacy and Safety Study of Clobazam in Patients With Lennox-Gastaut Syndrome",Lundbeck LLC,1,Clobazam Low Dose | Clobazam Medium Dose | Clobazam High Dose | Placebo,2_60,y,60,55-<65,Lithuania,2,"North America
Oceania
Europe
Asia
",Y
115,NCT01140867,2011,69,52,121,3/1/2011,2011,1,Phase 4,0,n,y,,O,"A Korea, Republic ofn Open-label, Multi-center, Community-based Trial Assessing the Efficacy and Safety of Zonisamide as Adjunctive Therapy in Patients With Uncontrolled Partial Epilepsy",Eisai Inc.,1,zonisamide,15 years and older,y,nil,>/75,"Korea, Republic of",4,Asia,n
116,NCT01355068,2011,25,1,26,6/1/2011,2011,1,Phase 1,0,n,y,,O,"An Open Label, Randomized, Single Dose, Crossover Pivotal Bioequivalence Study of Epanutin Infatabs 50 mg (Sourced From Germany) Verses Dilantin Infatabs 50 mg (Sourced From Australia) in Healthy Subjects",Pfizer,1,Epanutin Infatabs (Phenytoin) | Dilantin Infatabs (Phenytoin),21-55,n,55,55-<65,Singapore,4,Asia,n
117,NCT00596466,2012,37,38,75,12/1/2011,2011,1,Phase 3,0,n,y,,O,An Open-Label Multicenter Extension Study To Determine Long Term Safety And Efficacy Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Pfizer,1,pregabalin,18 years and older,n,nil,>/75,United States of America,2,"North America
Asia
Europe",n
117,NCT00596466,2012,37,38,75,12/1/2011,2011,1,Phase 3,0,n,y,,O,An Open-Label Multicenter Extension Study To Determine Long Term Safety And Efficacy Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Pfizer,1,pregabalin,18 years and older,n,nil,>/75,czechiaia,2,"North America
Asia
Europe",n
117,NCT00596466,2012,37,38,75,12/1/2011,2011,1,Phase 3,0,n,y,,O,An Open-Label Multicenter Extension Study To Determine Long Term Safety And Efficacy Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Pfizer,1,pregabalin,18 years and older,n,nil,>/75,Hong Kong,2,"North America
Asia
Europe",n
117,NCT00596466,2012,37,38,75,12/1/2011,2011,1,Phase 3,0,n,y,,O,An Open-Label Multicenter Extension Study To Determine Long Term Safety And Efficacy Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Pfizer,1,pregabalin,18 years and older,n,nil,>/75,Ukraine,2,"North America
Asia
Europe",n
117,NCT00596466,2012,37,38,75,12/1/2011,2011,1,Phase 3,0,n,y,,O,An Open-Label Multicenter Extension Study To Determine Long Term Safety And Efficacy Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Pfizer,1,pregabalin,18 years and older,n,nil,>/75,,2,"North America
Asia
Europe",n
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Belgium,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Estonia,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,France,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Hungary,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Italy,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Latvia,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Poland,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Spain,3,"Europe
",Y
118,NCT00566254,2013,108,99,207,3/1/2011,2011,1,Phase 3,0,n,y,,R,"A Double-blind, Randomised, Placebo-controlled, Multi-centre Study to Assess the Efficacy and Safety of Adjunctive Zonisamide in Paediatric Partial Onset Seizures",Eisai Inc.,1,Zonisamide | Placebo,6_17,y,17,</18,Ukraine,3,"Europe
",Y
120,NCT01364558,2014,19,5,24,4/1/2011,2011,1,Phase 1,0,n,y,,O,"A Three-Period, Three-Treatment, Six-Sequence Randomized Crossover Study of the Bioavailability and Pharmacokinetics of Diazepam After Intranasal and Intravenous Administration to Healthy Volunteers"",",University of Minnesota - Clinical and Translational Science Institute,2,Diazepam | Diazepam,18-45,n,45,19-54,United States of America,1,North America,n
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Australia,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Denmark,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,France,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Germany,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Greece,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Hungary,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,India,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Italy,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,"Korea, Republic of",3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Montenegro,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Poland,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Russian Federation,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Serbia,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Slovakia,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,South Africa,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Spain,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Sweden,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,Switzerland,3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,"Taiwan, Province of China",3,"Oceania
Europe
Asia
Africa",Y
121,NCT00848549,2015,346,235,581,11/1/2011,2011,1,Phase 3,0,n,y,,R,"A Randomized, Double-Blind Extension Study To Assess The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures",Eisai Inc.,1,Zonisamide | Carbamazepine,18-78,n,78,>/75,United Kingdom of Great Britain and Northern Ireland,3,"Oceania
Europe
Asia
Africa",Y
122,NCT01239212,2015,4,3,7,7/1/2011,2011,1,Phase 1/Phase 2,0,n,y,,O,Pharmacokinetics and Safety of 50 mg/kg IV Levetiracetam (Keppra) in Full Term and Preterm Neonates,"Children's Hospital Medical Center, Cincinnati",2,levetiracetam,up to 30 days,y,0.08,</18,United States of America,1,North America,n
123,NCT01546688,2016,21,30,51,8/1/2011,2011,1,Phase 4,0,n,y,,R,"A Randomised, Double Blind, Placebo-controlled Study to Evaluate the Safety and Tolerability and to Explore the Efficacy of Zonisamide as add-on Therapy in Elderly Patients With Refractory Partial Seizures",Eisai Inc.,1,Zonisamide at targeted daily doses of 100-500 mg/day | Placebo administered to match targeted daily doses of 100-500 mg/day,65 and older,n,nil,>/75,Germany,3,Europe,N
